outbreakId,reportId,diseaseName,diseaseType,startDate,endDate,totalCases,locationName,species,animalCategoryLabel,latitude,longitude,animalCategory
28161,1398,Porcine reproductive/respiratory syndr.,Suidae,4/07/2013,8/08/2013,2,Dalgaon,Swine,Domestic,26.31,93.58,domestic
28162,1398,Porcine reproductive/respiratory syndr.,Suidae,15/07/2013,3/09/2013,1,Sivsagar,Swine,Domestic,26.98,94.63,domestic
28163,1398,Porcine reproductive/respiratory syndr.,Suidae,4/08/2013,18/09/2013,1,Sivsagar,Swine,Domestic,26.98,94.63,domestic
28164,1398,Porcine reproductive/respiratory syndr.,Suidae,28/09/2013,15/10/2013,1,Nongumlong,Swine,Domestic,25.22,91.45,domestic
28165,1398,Porcine reproductive/respiratory syndr.,Suidae,24/10/2013,11/11/2013,4,Jarangkona,Swine,Domestic,25.27,89.56,domestic
28166,1398,Porcine reproductive/respiratory syndr.,Suidae,6/03/2014,19/04/2014,3,Gindo,Swine,Domestic,25.34,90.39,domestic
28167,1398,Porcine reproductive/respiratory syndr.,Suidae,22/04/2014,5/05/2014,1,Masighat pig farm,Swine,Domestic,25.19,90.33,domestic
28168,1398,Porcine reproductive/respiratory syndr.,Suidae,10/10/2013,26/10/2013,1,Mawthadrashan,Swine,Domestic,25.33,91.17,domestic
28169,1398,Porcine reproductive/respiratory syndr.,Suidae,25/09/2013,25/10/2013,1,Myrkhan,Swine,Domestic,25.22,91.45,domestic
28170,1398,Porcine reproductive/respiratory syndr.,Suidae,22/04/2014,15/05/2014,1,Nongkasen pig farm,Swine,Domestic,25.33,91.17,domestic
28171,1398,Porcine reproductive/respiratory syndr.,Suidae,5/03/2014,15/04/2014,8,Nongpyiur government pig farm,Swine,Domestic,25.22,91.45,domestic
28172,1398,Porcine reproductive/respiratory syndr.,Suidae,13/03/2014,11/04/2014,5,Pynursla government pig farm,Swine,Domestic,25.22,91.45,domestic
28173,1398,Porcine reproductive/respiratory syndr.,Suidae,16/09/2013,20/09/2013,1,"Koiroi, Nambol block",Swine,Domestic,24.37,93.45,domestic
28174,1398,Porcine reproductive/respiratory syndr.,Suidae,30/10/2013,3/11/2013,1,Govindagram,Swine,Domestic,24.46,93.53,domestic
28175,1398,Porcine reproductive/respiratory syndr.,Suidae,2/05/2013,28/08/2014,350,Aizawl,Swine,Domestic,23.43,92.43,domestic
28177,1398,Porcine reproductive/respiratory syndr.,Suidae,5/05/2013,28/08/2014,123,Lunglei,Swine,Domestic,22.52,92.45,domestic
28178,1398,Porcine reproductive/respiratory syndr.,Suidae,13/11/2013,12/07/2014,179,Saiha,Swine,Domestic,22.29,92.58,domestic
28179,1398,Porcine reproductive/respiratory syndr.,Suidae,18/09/2013,12/07/2014,154,Serchhip,Swine,Domestic,23.18,92.51,domestic
28180,1398,Porcine reproductive/respiratory syndr.,Suidae,4/05/2013,28/08/2014,37,Champhai,Swine,Domestic,23.27,93.19,domestic
28181,1398,Porcine reproductive/respiratory syndr.,Suidae,19/05/2013,16/07/2013,30,Lawngtlai,Swine,Domestic,22.18,92.41,domestic
28182,1398,Porcine reproductive/respiratory syndr.,Suidae,18/05/2013,16/08/2013,3,Kolasib,Swine,Domestic,24.13,92.4,domestic
28183,1398,Porcine reproductive/respiratory syndr.,Suidae,8/03/2014,3/04/2014,2,Rengmapani,Swine,Domestic,26,94.31,domestic
45823,2062,H5N8 (HPAI),,19/10/2016,6/06/2017,418,Paippad,Birds,Domestic,9.26,76.32,domestic
144573,5685,H5N1 (HPAI),,9/06/2024,19/05/2025,428,"Ward 11, Cherthala South",Birds,Domestic,9.655053,76.326774,domestic
144575,5685,H5N1 (HPAI),,13/06/2024,19/05/2025,100,"Ward 23, Mannanchery",Birds,Domestic,9.582173,76.330633,domestic
34425,1648,H5N1 (HPAI),,18/01/2015,23/06/2015,1628,Kureepuzha Regional Poultry Farm,Birds,Domestic,8.55,76.34,domestic
144592,5685,H5N1 (HPAI),,24/06/2024,19/05/2025,778,"Ward 12, Chennampallipuram",Birds,Domestic,9.718402,76.341839,domestic
144583,5685,H5N1 (HPAI),,13/06/2024,19/05/2025,2121,"Ward 4, Cherthala Municipality",Birds,Domestic,9.694383,76.347261,domestic
144579,5685,H5N1 (HPAI),,14/06/2024,19/05/2025,3734,"Ward 15, Chennam pallipuram LSGD",Birds,Domestic,9.738372,76.348501,domestic
144572,5685,H5N1 (HPAI),,11/06/2024,19/05/2025,214,"Ward 16, Cherthala Municipality",Birds,Domestic,9.670847,76.348507,domestic
144567,5685,H5N1 (HPAI),,8/06/2024,19/05/2025,1997,"Ward 15, Cherthala Muncipality",Birds,Domestic,9.67017,76.348898,domestic
43509,2068,H5N8 (HPAI),,23/10/2016,6/06/2017,10,Damenheri,Birds,Domestic,30.29,76.35,domestic
144561,5685,H5N1 (HPAI),,8/06/2024,19/05/2025,1742,"Ward-10, Kanjikuzhy Panchayat",Birds,Domestic,9.602548,76.350493,domestic
112168,4701,H5N1 (HPAI),,21/12/2022,24/10/2023,1935,"Ward No. 4 Vanadam, Ambalapuzzha North ",Birds,Domestic,9.4164,76.352,domestic
144587,5685,H5N1 (HPAI),,20/06/2024,19/05/2025,2008,"Ward 14, Chennam, Pallipuram LSGD",Birds,Domestic,9.72648,76.354869,domestic
126627,4701,H5N1 (HPAI),,7/01/2023,24/10/2023,573,Ward No. 6 Punnapra South Ambalapuzha,Birds,Domestic,9.432931,76.355535,domestic
112167,4701,H5N1 (HPAI),,3/12/2022,24/10/2023,3500,"Ward No.5, Vadanam Ambalapuzzha North",Birds,Domestic,9.415,76.3565,domestic
144586,5685,H5N1 (HPAI),,18/06/2024,19/05/2025,1985,"Ward 3, Chennam, Pallipuram LSGD",Birds,Domestic,9.758895,76.356595,domestic
134797,5685,H5N1 (HPAI),,19/04/2024,19/05/2025,693,Ward 7 Ambalappuzha North,Birds,Domestic,9.406405,76.356791,domestic
144589,5685,H5N1 (HPAI),,21/06/2024,19/05/2025,2800,Ward 2 Kanjikuzhy,Birds,Domestic,9.663969,76.357365,domestic
97670,4171,empty strain - H5N1 (HPAI),,17/12/2021,21/12/2023,4580,"Nalupadam, Ambalapuzha(N)",Birds,Domestic,9.41715,76.35893,domestic
144581,5685,H5N1 (HPAI),,18/06/2024,19/05/2025,2524,"Ward 3, Chennam, Pallipuram LSGD",Birds,Domestic,9.76677,76.361519,domestic
97668,4171,empty strain - H5N1 (HPAI),,19/12/2021,21/12/2023,4525,"Nalupadam, Ambalapuzha(N)",Birds,Domestic,9.41768,76.36165,domestic
144588,5685,H5N1 (HPAI),,20/06/2024,19/05/2025,2994,"Ward 16, Chennam, Pallipuram LSGD",Birds,Domestic,9.745858,76.362488,domestic
80207,3477,H5N8 (HPAI),,22/12/2020,21/12/2023,15025,Nedumudy,Birds,Domestic,9.40136,76.36269,domestic
126625,4701,H5N1 (HPAI),,2/01/2023,24/10/2023,17,Wrad No.8 Pallthuruthy,Birds,Domestic,9.48992,76.364395,domestic
144580,5685,H5N1 (HPAI),,14/06/2024,19/05/2025,1141,"Ward 11, Chennam, Pallipuram LSGD",Birds,Domestic,9.713189,76.365464,domestic
144584,5685,H5N1 (HPAI),,13/06/2024,19/05/2025,811,"Ward 5, Puliyoor LSGD",Birds,Domestic,9.713189,76.365464,domestic
144574,5685,H5N1 (HPAI),,13/06/2024,19/05/2025,1580,"Ward 1, Mahuamma Panchayat",Birds,Domestic,9.642812,76.365919,domestic
81531,3477,H5N8 (HPAI),,8/01/2021,21/12/2023,600,Kainakary,Birds,Domestic,9.4692628,76.366434,domestic
97671,4171,empty strain - H5N1 (HPAI),,20/12/2021,21/12/2023,15795,"Kanjipadam, Ambalapuzha(N) ",Birds,Domestic,9.41099,76.37235,domestic
144582,5685,H5N1 (HPAI),,14/06/2024,19/05/2025,1600,"Ward 5, Thanneermukkam lSGD",Birds,Domestic,9.676385,76.37277,domestic
144577,5685,H5N1 (HPAI),,14/06/2024,19/05/2025,850,"Ward 16, Udayanapuram, LSGD",Birds,Domestic,9.775354,76.383318,domestic
97558,4171,empty strain - H5N1 (HPAI),,1/12/2021,21/12/2023,3668,Ward 12 Purakkad,Birds,Domestic,9.33402,76.3865,domestic
46289,2156,H5N8 (HPAI non. Plt),,28/12/2016,6/06/2017,4,"Sri Chamarajendra Zoological Gardens, Mysuru",Anser anser,Wild,12.18,76.39,wild
112165,4701,H5N1 (HPAI),,20/11/2022,24/10/2023,4000,Ward No. 7 Naluchira Purakkad Panchayat,Birds,Domestic,9.3247,76.3942,domestic
112166,4701,H5N1 (HPAI),,2/12/2022,24/10/2023,3000,"Ward No.6 A Block Padasekahram, Purakkad ",Birds,Domestic,9.3673,76.3942,domestic
97557,4171,empty strain - H5N1 (HPAI),,5/12/2021,21/12/2023,150,"Ward No. 1, Nedumudy ",Birds,Domestic,9.44113,76.39562,domestic
97666,4171,empty strain - H5N1 (HPAI),,1/12/2021,21/12/2023,11124,Ward No.1 Karuvatta,Birds,Domestic,9.34567,76.40164,domestic
97560,4171,empty strain - H5N1 (HPAI),,6/12/2021,21/12/2023,2643,Ward No. 1 Karuvatta,Birds,Domestic,9.32893,76.40373,domestic
93847,4171,empty strain - H5N1 (HPAI),,21/11/2021,21/12/2023,22500,"Madiyilakari, Thakazy, Champakulam",Birds,Domestic,9.349968,76.40387,domestic
80203,3477,H5N8 (HPAI),,22/12/2020,21/12/2023,2630,Thakazhy,Birds,Domestic,9.3707,76.4115,domestic
144594,5685,H5N1 (HPAI),,22/06/2024,19/05/2025,799,"Ward 10, Vechoor",Birds,Domestic,9.663695,76.414395,domestic
144598,5685,H5N1 (HPAI),,3/07/2024,19/05/2025,97,"Ward 1, Vechoor",Birds,Domestic,9.679822,76.417773,domestic
134798,5685,H5N1 (HPAI),,19/04/2024,19/05/2025,43,Ward 4 Thakazhy,Birds,Domestic,9.384177,76.421358,domestic
112127,4701,H5N1 (HPAI),,7/11/2022,24/10/2023,5400,"Ward No. 1 Ezhankeri Padam, Karuvatta Panchayat",Birds,Domestic,9.3415,76.4221,domestic
97665,4171,empty strain - H5N1 (HPAI),,29/11/2021,21/12/2023,2257,Ward No.1 Karuvatta,Birds,Domestic,9.3421,76.4221,domestic
97664,4171,empty strain - H5N1 (HPAI),,30/11/2021,21/12/2023,8841,Ward No 1 Karuvatta,Birds,Domestic,9.34154,76.42215,domestic
90806,3477,empty strain - H5N8 (HPAI),,19/11/2020,21/12/2023,9303,Kudavechoor,Birds,Domestic,9.6603,76.4244,domestic
112172,4701,H5N1 (HPAI),,16/12/2022,24/10/2023,695,Ward No. 2 Vechoor ,Birds,Domestic,9.6899,76.4248,domestic
112128,4701,H5N1 (HPAI),,12/11/2022,24/10/2023,57,Ward No. 4 Karuvatta,Birds,Domestic,9.3167,76.4259,domestic
80208,3477,H5N8 (HPAI),,27/12/2020,21/12/2023,2750,Karuvatta,Birds,Domestic,9.3107,76.4305,domestic
112170,4701,H5N1 (HPAI),,7/12/2022,24/10/2023,200,Ward No.9 Thalayazham,Birds,Domestic,9.694,76.4338,domestic
97551,4171,empty strain - H5N1 (HPAI),,29/11/2021,21/12/2023,787,Vechoor Panchayat Kattamada,Birds,Domestic,9.67966,76.4365,domestic
97552,4171,empty strain - H5N1 (HPAI),,29/11/2021,21/12/2023,3123,"Madanan, Vechoor Panchayat Kattamada",Birds,Domestic,9.67966,76.4365,domestic
97563,4171,empty strain - H5N1 (HPAI),,29/11/2021,21/12/2023,954,Vechoor Panchayat Kattamada ,Birds,Domestic,9.67966,76.43651,domestic
97562,4171,empty strain - H5N1 (HPAI),,10/12/2021,21/12/2023,737,"Vadakkepallippadam, Kurarakom Panchayat",Birds,Domestic,9.62082,76.43694,domestic
97565,4171,empty strain - H5N1 (HPAI),,10/12/2021,21/12/2023,1619,Vadakkepallippadam Kumarakom Panchayat,Birds,Domestic,9.62082,76.43694,domestic
